id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v32_weak_non_digital_gov,v27_event_key,v26가드레일사유
1035,정부/국회,정부_국회,금융감독원,"금감원 ""전산장애 잦은 빅테크 현장점검…내부통제 전면 재점검하라"" |",금감원 전산장애 잦은 빅테크 현장점검 내부통제 전면 재점검하라,연합인포맥스,연합인포맥스,"Wed, 24 Jun 2026 01:08:24 GMT","금감원 ""전산장애 잦은 빅테크 현장점검…내부통제 전면 재점검하라"" | 연합인포맥스",https://news.google.com/rss/articles/CBMidEFVX3lxTE02UE83ZjlSY3JMM2JZZjNTVGRtMV9mdlhHelYtS3ZhUzVMVVlPTGZqR3hQNjNrVHI0RkxmdUhiNlJmYXFVR0xKdExFNFUyUTg4ZkxRZjc3LWFORGZXTXZwQkVMMF85NHhYYUpjME5iQ1EtX3JQ?oc=5,google_rss_금융감독원 when:2d,60.6,70.5,"legal_regulatory_enforcement,privacy_security_reliability",legal_regulatory_enforcement,금감원,v43_not_government_policy,,,,,,general,24.0,published_today,official_action,event:금감원:legal_regulatory_enforcement+privacy_security_reliability,investigation,,"insufficient_industry_basis:actor=True,change=False,bridge=False",1,,,,60.6,"legal_regulatory_enforcement,privacy_security_reliability",government:regulatory_enforcement,,,정부_국회,GOV_PLATFORM_REGULATION,government_general_low_relevance,government_general_low_relevance:금감원 전산장애 잦은 빅테크 현장점검 내부통제 전면 재점검하라,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,2,2,1,,,로컬 보조 라벨,local_low_confidence,,GOV_GENERAL_LOW_RELEVANCE,,other,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,,government_general_low_relevance:금감원 전산장애 잦은 빅테크 현장점검 내부통제 전면 재점검하라,government_general_low_relevance,,,,
88,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오VX, 경남 의령리온GC 위탁운영 시작",카카오vx 경남 의령리온gc 위탁운영 시작,마이데일리,마이데일리,"Wed, 24 Jun 2026 00:16:28 GMT","카카오VX, 경남 의령리온GC 위탁운영 시작 마이데일리",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9JOVpKMkcyOGtaSlZadUVZLUl3Vy1IMm9kbV95dERSS1p6eHBOUTdxc2NvVDhHMjBZUlJpemVDX3c3RHRaTW5qb2tjZnZvdFJuTDBLdmUxa2w0NXdNekItVw?oc=5,google_rss_카카오 when:2d,60.3,10.5,,,카카오,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,,,,60.3,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:카카오vx 경남 의령리온gc 위탁운영 시작,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:카카오vx 경남 의령리온gc 위탁운영 시작,self_strategic_reference,,,,
237,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,바로 풀어보자…카카오페이 퀴즈타임 6월 23일 정답 대공개,바로 풀어보자 카카오페이 퀴즈타임 6월 23일 정답 대공개,위키트리,위키트리,"Mon, 22 Jun 2026 23:12:00 GMT",바로 풀어보자…카카오페이 퀴즈타임 6월 23일 정답 대공개 위키트리,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1iV3JLaFBhenc2QURjaS15bGRvTFQ0WEpDcndhd0xwc1RLZnhDeFYwTnp4S3AxaU5UdXNYdlRaTC1pYTREMm5Da1hfdUZuV29mSnhLUTdR?oc=5,google_rss_카카오 카카오페이 when:2d,59.4,20.2,,,"카카오,카카오페이",,,,,,,general,26.0,published_yesterday+yesterday_date_action,general,,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,,,,59.4,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:바로 풀어보자 카카오페이 퀴즈타임 6월 23일 정답 대공개,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:바로 풀어보자 카카오페이 퀴즈타임 6월 23일 정답 대공개,self_strategic_reference,,,,
10,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오 VX, 경남 의령리온GC 위탁운영 시작",카카오 vx 경남 의령리온gc 위탁운영 시작,지디넷코리아,지디넷코리아,"Wed, 24 Jun 2026 01:32:05 GMT","카카오 VX, 경남 의령리온GC 위탁운영 시작 지디넷코리아",https://news.google.com/rss/articles/CBMiVkFVX3lxTE8wMVQ0bDlCMS1HTGdYcmw1S3MycnNuNnl5STJOYnByQnEzU3V0RWlZd1I5azJFbTRES1FsMFF1SU5hRHdmYmlyNFVGdTNldjJHdEJDbm93?oc=5,google_rss_카카오 when:2d,59.3,10.5,,,카카오,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,,,,59.3,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:카카오 vx 경남 의령리온gc 위탁운영 시작,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:카카오 vx 경남 의령리온gc 위탁운영 시작,self_strategic_reference,,,,
32,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오VX, 경남 의령리온GC 위탁운영 개시",카카오vx 경남 의령리온gc 위탁운영 개시,뉴시스,뉴시스,"Wed, 24 Jun 2026 00:49:04 GMT","카카오VX, 경남 의령리온GC 위탁운영 개시 뉴시스",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBtY3lRUEx2NVNrVEVPeGtwdzhiTU1FY0UyQUZySmhvZzdKNTVOUEVRSHJZdTdKN2FWTGVRZkpLYmhyS1RnTDYwSElBeEQxOTFOcVY2aERmNkJHdXBJSUpxX9IBeEFVX3lxTE1BV20tQW9Bb2tNdUxCdFVaWW5nX2FrOWdyaF9YbzBXVlRtanNsQmItM1QyNUpaWVNib1NzcUI5UjRPNC1PaW1nUDdVS3pRT1dwdTkwUnYwVGRLVWp0NldsNzFwOEFldTNQWDhtU3AzeGFYeE9faUw4UQ?oc=5,google_rss_카카오 when:2d,59.3,10.5,,,카카오,,,,,,,general,24.0,published_today,general,,action_started,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,,,,59.3,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:카카오vx 경남 의령리온gc 위탁운영 개시,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:카카오vx 경남 의령리온gc 위탁운영 개시,self_strategic_reference,,,,
8,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오VX, 의령리온GC 위탁운영 시작",카카오vx 의령리온gc 위탁운영 시작,아이뉴스24,아이뉴스24,"Wed, 24 Jun 2026 00:58:22 GMT","카카오VX, 의령리온GC 위탁운영 시작 아이뉴스24",https://news.google.com/rss/articles/CBMiS0FVX3lxTE8wZXI0enVwQk9tVGFiWXlSUmo0bkhwdVU4WC1yZ3JUUHRDOHE1N0lHaXhTQm15d082Z21WU1M3YUo5MVpoM285aU9ucw?oc=5,google_rss_카카오 when:2d,58.3,10.5,,,카카오,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,,,,58.3,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:카카오vx 의령리온gc 위탁운영 시작,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:카카오vx 의령리온gc 위탁운영 시작,self_strategic_reference,,,,
49,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,경남서도 카카오 VX…의령리온GC 위탁운영,경남서도 카카오 vx 의령리온gc 위탁운영,헤럴드경제,헤럴드경제,"Wed, 24 Jun 2026 00:00:00 GMT",경남서도 카카오 VX…의령리온GC 위탁운영 헤럴드경제,https://news.google.com/rss/articles/CBMiVkFVX3lxTE15MDVBUmRjeUg0ZkpJVWlnb24yNEd4RVJ2OURKVFkzN2lwbm5aa25yMkhUUENkdWFJeUR5Y1pxOWlTU2ZfX2laUXZ3cUk2TXNkOG8yZmV3?oc=5,google_rss_카카오 when:2d,58.3,10.5,,,카카오,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,,,,58.3,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:경남서도 카카오 vx 의령리온gc 위탁운영,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:경남서도 카카오 vx 의령리온gc 위탁운영,self_strategic_reference,,,,
53,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오페이증권, 고객 확보·지배구조 개편...업계 '톱2' 속도 낸다",카카오페이증권 고객 확보 지배구조 개편 업계 톱2 속도 낸다,테크M,테크M,"Wed, 24 Jun 2026 02:12:55 GMT","카카오페이증권, 고객 확보·지배구조 개편...업계 '톱2' 속도 낸다 테크M",https://news.google.com/rss/articles/CBMiZkFVX3lxTFBHS3Z5c3FESTZ2M05JLU5GYjM4U2l0YTFlQ1ZYMnlsWE9JVWllSHhXU3BlekotM3VybjhwOWU0R0xWN3F0Vnp6NFV5OG1CS04wSW9hTHdkUXBSZW10bnVaUjRmTHVGUdIBakFVX3lxTE1Yc1hzb3gza1E2WkFWelBFbDlydGtzcVhVRUJuM09OelIzRHVlNHNkWFdoNWV2VzFwUTFCN2gybG9Jb0JrYlEwdGhqanhQVjBWQkRHOXlVVm95RzRIYW5yM1BIMF9VVVFLTVE?oc=5,google_rss_카카오 when:2d,57.8,13.0,,,"카카오,카카오페이",,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,,,,57.8,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:카카오페이증권 고객 확보 지배구조 개편 업계 톱2 속도 낸다,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:카카오페이증권 고객 확보 지배구조 개편 업계 톱2 속도 낸다,self_strategic_reference,,,,
3,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오페이증권, 카톡 채널 친구 수 100만명 넘겨…3개월만에 '14배'",카카오페이증권 카톡 채널 친구 수 100만명 넘겨 3개월만에 14배,글로벌이코노믹,글로벌이코노믹,"Wed, 24 Jun 2026 01:59:21 GMT","카카오페이증권, 카톡 채널 친구 수 100만명 넘겨…3개월만에 '14배' 글로벌이코노믹",https://news.google.com/rss/articles/CBMihwFBVV95cUxQTU5HSGFrVWxuejE3RTctLUpWWGxmUGhHOXNUaU9fMHJKYkJzVmlGelZ0YW4tYXRkVk1pSGVoUWFGbzBwMk9hOFJlRVVZWnFOa2h0VTRWTnpHdDFYejdjSEtBWjFzSHgtTGN4QU1YWk0tNjNaeVhJRFRUQ25JTGpDcl9OZzRSSTQ?oc=5,google_rss_카카오 when:2d,57.8,13.0,,,"카카오,카카오서비스,카카오톡,카카오페이",,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,,,,57.8,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:카카오페이증권 카톡 채널 친구 수 100만명 넘겨 3개월만에 14배,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:카카오페이증권 카톡 채널 친구 수 100만명 넘겨 3개월만에 14배,self_strategic_reference,,,,
42,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,[여의도단신]KB자산운용·마스턴투자운용·카카오페이증권,여의도단신 kb자산운용 마스턴투자운용 카카오페이증권,매일신문,매일신문,"Wed, 24 Jun 2026 01:19:35 GMT",[여의도단신]KB자산운용·마스턴투자운용·카카오페이증권 매일신문,https://news.google.com/rss/articles/CBMiYkFVX3lxTE84bmVtLXFLM2RhQWV1UVZGQzY2TFBTM2dJMDZ1YnFFVmpIcXZYbHNTUkxmLWFyT1hXZVV1NWRRa01VVHBMelZsSzJHT3lxbU5jZWNrUGhhU3VmU1pfSDdXMnJB?oc=5,google_rss_카카오 when:2d,57.8,13.0,,,"카카오,카카오페이",,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,,,,57.8,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:여의도단신 kb자산운용 마스턴투자운용 카카오페이증권,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:여의도단신 kb자산운용 마스턴투자운용 카카오페이증권,self_strategic_reference,,,,
344,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오게임즈,"카카오게임즈, 신작 ‘갓 세이브 버밍엄’ 신규 개발자 업데이트 영상 공개",카카오게임즈 신작 갓 세이브 버밍엄 신규 개발자 업데이트 영상 공개,인벤,인벤,"Tue, 23 Jun 2026 15:45:00 GMT","카카오게임즈, 신작 ‘갓 세이브 버밍엄’ 신규 개발자 업데이트 영상 공개 인벤",https://news.google.com/rss/articles/CBMia0FVX3lxTE85ektUYVJxTElOMGllWC1HT0M2TGk1c2RzRkNuWjBWTHl5Rm9qb0ZReXloV1M0LTFsRmg5LXhaOHNBdmpwbkxOMFRiY3owWTJueUFlcFBRMlZNUVNTNmF6N29iUUpLRkpsZTk0?oc=5,google_rss_카카오게임즈 개인정보 when:2d,55.8,13.0,,,"카카오,카카오게임즈",,,,,,,general,24.0,published_today,general,,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,,,,55.8,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:카카오게임즈 신작 갓 세이브 버밍엄 신규 개발자 업데이트 영상 공개,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:카카오게임즈 신작 갓 세이브 버밍엄 신규 개발자 업데이트 영상 공개,self_strategic_reference,,,,
1473,정부/국회,정부_국회,정무위원회,"안도걸 ""디지털자산기본법, 하반기에 국회 통과시킬 것""",안도걸 디지털자산기본법 하반기에 국회 통과시킬 것,네이트,네이트,"Tue, 23 Jun 2026 10:53:00 GMT","안도걸 ""디지털자산기본법, 하반기에 국회 통과시킬 것"" 네이트",https://news.google.com/rss/articles/CBMieEFVX3lxTE96aHR2QUI0RGFYSUtMeHo2ekxFMWhsRFJmdG8tMERHdWd3bjlaVmVpa2h4RmYycUZ3RDZRUXg3TENqX1dUUmVtS0tKckl3Mk9VNC1oNzFxQzVvQ0VIeGlXSXA3YUVDdm9aWU5JR3JNWUNxa1lFdmVLQw?oc=5,google_rss_정무위원회 when:2d,55.6,88.0,"digital_asset_stablecoin,policy_legislation,stablecoin",stablecoin_forum_aml,,v43_not_government_policy,,,,,,general,14.0,published_yesterday,general,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,decision,,"insufficient_industry_basis:actor=False,change=False,bridge=True",1,,,,55.6,"policy_legislation,digital_asset_stablecoin",government:digital_asset,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy:general,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,정부_국회,GOV_PLATFORM_REGULATION,government_appointment_governance,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,4,5,4,,,로컬 보조 라벨,local_low_confidence,,GOV_APPOINTMENT_GOVERNANCE,,other,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,government_appointment_governance,,,,
3272,정부/국회,정부_국회,디지털자산기본법,"안도걸 의원 ""디지털자산기본법, 하반기 국회서 통과시킬 것""",안도걸 의원 디지털자산기본법 하반기 국회서 통과시킬 것,핀포인트뉴스,핀포인트뉴스,"Tue, 23 Jun 2026 08:03:19 GMT","안도걸 의원 ""디지털자산기본법, 하반기 국회서 통과시킬 것"" 핀포인트뉴스",https://news.google.com/rss/articles/CBMic0FVX3lxTE5xZWh2b2FnUE1NRzBmdDdNWV9rV0tsREFaMU0waXVzMnU1Q3RBR2YxRERqMkZvTnBBb256RElwY1l3ZFhqcW9kR3piWE9sTlNlaV9hNEJ6eUJxMUpZWlN2THNobFRlb0pFTm9jRV9acE9aR1k?oc=5,google_rss_디지털자산기본법 when:2d,55.6,88.0,"digital_asset_stablecoin,policy_legislation,stablecoin",stablecoin_forum_aml,,v43_not_government_policy,,,,,,general,14.0,published_yesterday,general,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,decision,,"insufficient_industry_basis:actor=False,change=False,bridge=True",1,,,,55.6,"policy_legislation,digital_asset_stablecoin",government:digital_asset,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy:general,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,정부_국회,GOV_FINANCIAL_DIGITAL_POLICY,government_digital_finance_policy,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,3,4,3,,,로컬 보조 라벨,local_low_confidence,,GOV_DIGITAL_FINANCE_POLICY,,other,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,government_digital_finance_policy,,,,
1601,정부/국회,정부_국회,스테이블코인,"안도걸 의원 “스테이블코인, 미래 금융 인프라 핵심…하반기 입법 추진”",안도걸 의원 스테이블코인 미래 금융 인프라 핵심 하반기 입법 추진,아시아투데이,아시아투데이,"Tue, 23 Jun 2026 07:48:53 GMT","안도걸 의원 “스테이블코인, 미래 금융 인프라 핵심…하반기 입법 추진” 아시아투데이",https://news.google.com/rss/articles/CBMibkFVX3lxTE5yM3k3cFFKdklZbk5Cc19PVXpXbUJRQkdLbklaYnRrOVpieWNOWjdUOHFwNjNqOHZPMFdOWC1XcmVrS1hhV0sxU1Q2bXV2Zm42V1pkOGc5SWM4UXVnXy1XQWo3Q3N1QUNRbGRucUln?oc=5,google_rss_스테이블코인 when:2d,55.6,85.0,"digital_asset_stablecoin,policy_legislation,stablecoin",stablecoin_forum_aml,,v43_not_government_policy,,,,,,general,14.0,published_yesterday,general,global_incident:digital_asset_policy:digital_asset_sector:stablecoin_policy,general,,"insufficient_industry_basis:actor=False,change=True,bridge=False",1,,,,55.6,"policy_legislation,digital_asset_stablecoin",government:digital_asset,global_incident:digital_asset_policy:digital_asset_sector:stablecoin_policy:announcement,global_incident:digital_asset_policy:digital_asset_sector:stablecoin_policy,정부_국회,GOV_FINANCIAL_DIGITAL_POLICY,government_digital_finance_policy,global_incident:digital_asset_policy:digital_asset_sector:stablecoin_policy,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,3,4,3,,,로컬 보조 라벨,local_low_confidence,,GOV_DIGITAL_FINANCE_POLICY,,other,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,,global_incident:digital_asset_policy:digital_asset_sector:stablecoin_policy,government_digital_finance_policy,,,,
98,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오 VX, 경남 의령리온GC 위탁운영 시작",카카오 vx 경남 의령리온gc 위탁운영 시작,NSP통신,NSP통신,"Wed, 24 Jun 2026 02:23:00 GMT","카카오 VX, 경남 의령리온GC 위탁운영 시작 NSP통신",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1MV3FDZTVaZFAxNmpyNXo4TnI1RzVHMTAwcnhacGNMRzRVajdRLVRQYkd0Wll1dGpRd2ZFY0pGRnZpdTN4Z0g2TmZmdC1za0IzUDZSNWZWcjUweUZGUFhGUA?oc=5,"google_rss_""카카오"" when:2d",55.3,10.5,,,카카오,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,,,,55.3,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:카카오 vx 경남 의령리온gc 위탁운영 시작,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:카카오 vx 경남 의령리온gc 위탁운영 시작,self_strategic_reference,,,,
28,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"파리바게뜨, 카카오프렌즈 협업 '춘식이 썸머팝 패키지' 출시",파리바게뜨 카카오프렌즈 협업 춘식이 썸머팝 패키지 출시,BBS불교방송,BBS불교방송,"Wed, 24 Jun 2026 02:10:58 GMT","파리바게뜨, 카카오프렌즈 협업 '춘식이 썸머팝 패키지' 출시 BBS불교방송",https://news.google.com/rss/articles/CBMia0FVX3lxTE5JOEtxM0hVYlZoM3F4X3VITGtEaVQ1ZG8yQzd2cFR5SWFQSXlSZEdabFl3VHdhTzdpZ0s2U3RvWVMxWDgzWkkxRnhNM2o1WjhsQ2NOQy1mX2YxV2JGWVliSjRWQzduN3RnZGU0?oc=5,google_rss_카카오 when:2d,55.3,10.5,,,카카오,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,,,,55.3,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:파리바게뜨 카카오프렌즈 협업 춘식이 썸머팝 패키지 출시,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:파리바게뜨 카카오프렌즈 협업 춘식이 썸머팝 패키지 출시,self_strategic_reference,,,,
33,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오 VX, 경남 소재 의령리온GC 위탁운영한다",카카오 vx 경남 소재 의령리온gc 위탁운영한다,매일일보,매일일보,"Wed, 24 Jun 2026 01:55:20 GMT","카카오 VX, 경남 소재 의령리온GC 위탁운영한다 매일일보",https://news.google.com/rss/articles/CBMiZEFVX3lxTE40c1EtakZSX0ppNU1QR1dvcXVUQ0NZb3BDRGRrWjBxVGlaMUpZU2J1MFc1MUw5WkJHNTJDYzI3MVlpb2ZKb2VUbDBIaW9HU0xrLXJLX010V1BDd3FZMFBmU1ZrQ08?oc=5,google_rss_카카오 when:2d,55.3,10.5,,,카카오,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,,,,55.3,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:카카오 vx 경남 소재 의령리온gc 위탁운영한다,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:카카오 vx 경남 소재 의령리온gc 위탁운영한다,self_strategic_reference,,,,
60,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"파리바게뜨, 카카오프렌즈 협업 '춘식이 썸머팝 패키지' 여름 한정 출시",파리바게뜨 카카오프렌즈 협업 춘식이 썸머팝 패키지 여름 한정 출시,컨슈머타임스,컨슈머타임스,"Wed, 24 Jun 2026 01:40:36 GMT","파리바게뜨, 카카오프렌즈 협업 '춘식이 썸머팝 패키지' 여름 한정 출시 컨슈머타임스",https://news.google.com/rss/articles/CBMiakFVX3lxTE1LcGhtOTNaWEJlRFk2RFNXQmhNQklXQzVkT2w5ZXZrNVlmeEI0YTgzTlhkbXU0Y1BaS1J2bXc1SW9JZzd0cFhFY01NVHRkYWpQNkgtT09ZSkFvYlZ4SW5CU0F4QkJWQU9BWlE?oc=5,google_rss_카카오 when:2d,55.3,10.5,,,카카오,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,,,,55.3,,,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:파리바게뜨 카카오프렌즈 협업 춘식이 썸머팝 패키지 여름 한정 출시,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,self_strategic_reference:파리바게뜨 카카오프렌즈 협업 춘식이 썸머팝 패키지 여름 한정 출시,self_strategic_reference,,,,
